,Record_text,InRelationship,General_comment_binary,General_comment,Specific_comment_binary,Specific_comment,Relevance
10347,داشتیم چیزکیک میخوردیم گفتم حال میکنی دوست دخترت خوشمزه ترین چیزکیک های جهان رو درست میکنه هااا گفت دوست دخترم خودش خوشمزه ترین چیزکیک جهانه [PINCHED_FINGERS_MEDIUM_LIGHT_SKIN_][SMILING_FACE_WITH_] امشب جفتمون خیلی لاسو بودیم,1,1,0,1,0,1
8876,تو سال جدید تصمیم گرفتم دور دوستای متاهلم رو خط بکشم. یعنی چی هروقت تعطیله پیش شوهراشونن. هر وقت کار دارن یا شوهرشون نیست  انتظار دارند من چون مجردم سریع خودمو برسونم [EXPRESSIONLESS_][NEUTRAL_],-1,1,1,0,3,1
2302,سال نو مبارک کوکی جون،ایشالا امسال از سینگلی دربیای یه پارتنر خوشگل و سکسی پیدا کنی,-1,1,0,0,3,0
10740,"از هوش مصنوعی پرسیدم : "" من به عنوان یک تورک تبریزی حق دارم از سخنان همسر رییس جمهور ایران ناراحت شوم ؟ "" !!!!! جواب بی نظیری داد… !!!!! خاک بر سر تورک های مانقورد وطن فروشی که برای ایرانشهری ها دم تکان میدهند… ازادلیق عدالت میللی حوکومت",-1,0,3,0,3,0
3579,عصلام دشمن من ایرانی هست و زن رو یک موجود بی عقل کثیف و جنده میدونه،و مرد رو نوکر و پسران را برای گاییدن و زنان شوهردار گاییدنشان از هر لذتی بالاتر و دزدی و دروغ هم ستون دین عصلام و قتا و غارت و تجاوز ، خب من بی این دین میرینم،زرتشت تاریخ و هویت و فرهنگ من هست،از  سال قبل مسیح,-1,0,3,0,3,0
267,در انتظار افشاگری های سنگین اصلاحاتچی ها ناخن به هم می زنم [WINKING_]  پیش بینی,-1,0,3,0,3,0
8450,[FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_] اتفاقا ما انقد شبیه نیستیم چندفعه تو خیابون فک کردن زن و شوهر یا دوست پسر دوست دختریم[BEAMING_FACE_WITH_SMILING_],0,0,3,0,3,0
9659,[PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_] زیدم تهران باشه چرا که نه [PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_],1,1,0,1,0,1
10026,اگه دوس پسرم بود نه ترجیح میدادم اون بیاد سمتم ولی شوهر رو اره باو,0,1,2,0,3,0
6244,و منی که   نوع غذا بلدم ولی شوهر ندارم [FACE_WITH_TEARS_OF_],0,1,1,0,3,0
4002,: اخرین میم قیافه ی همسر ایندته وقتی برا اولین بار میبینتت  [FACE_WITH_TEARS_OF_]  من :,-1,1,2,0,3,0
6342,شوهر من کوو,0,1,2,0,3,0
13141,اقا دو روزه کاملا اینجا توسط همگان شدم، امروز به پارتنرم گفتم دی اکیتو میکنم، استقبال کرد، بعد دیدم کی من اهل فرار کردن بودم؟ هیچ وقت، اصلا همینجا تمرینه واسه اینکه دیگه ترس کافیه! چه از خانواده چه از ملت چه از ج ا :) بنابراین نه تغییر میکنم نه فرار هستم قوی و پروو [RELIEVED_],1,1,2,1,2,1
11691,الکی به خانمم گفتم من قبل تو با یه خانم   ساله تو رابطه بودم گفت شوگر داشتی؟ گفتم اره تو چشام خیره شد چند ثانیه یهو گفت عوضی پولاشو چیکار کردیییییی چرا هنوز ما بی پولیم [ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_],1,1,2,1,2,1
6247,دلم میخواد اینو بفرستم به پارتنر سابقم و دوباره بلاکش کنم,0,1,1,1,1,1
12243,برای گفتن از شب های اخر برای این شانس بی مروتِ کافر برای اشتیاق و اشک های همسر برای اینهمه نقد، برای مادر برای حتی نداشتن خواهر برای دلتنگی… هوای حضور,-1,1,2,0,3,1
4005,من در نمی زنم میام با لگد,-1,0,3,0,3,0
2505,افرین به شما که روی شوهر تون غیرت و تعصب دارید. من حال شما رو درک می کنم خانواده من هم خیلی مقید به مسایل مذهبی نیستند.,1,1,0,1,0,1
9043,یه بار دوست دخترم پریود بود، واسش خوراکی گرفتم دیگه خوشش اومده هر ماه پریود میشه  [ZIPPER_MOUTH_] ,1,1,0,1,0,1
88,اقای رییسی این شوهر می خواد  [FACE_WITH_TEARS_OF_],-1,1,2,0,3,0
732,خوش ب حال خودم نه مادر شوهر دارم نه مادر زن فقط یه ننه دارم تاج سرم,0,1,0,0,3,0
7181,موقع خدمت خیلی راحت سُفره دلشونو پیشت پهن میکردن.یکیشون خواستگاری رفته بود و گفته بودن باید اول خدمت بری.حالا اومده بود خدمت و بعد چندماه،اونا دختره رو شوهر داده بودن.شب ها من بیشتر پُست میدادم تا جوون های  ، ساله تاصبح تریاک وشیشه و…بکشن.یکی لیسانس بود وحالا باید اوامر,-1,1,1,0,3,1
12165,"این دوستان هم با ""تو را من برگزیدم از دل و از جان"" و ""تو را از بین صدها گل جدا کردم "" و… می خوان ثابت کنن خیلی اوانگاردن. ولی زارت عزیزان! ادم اوانگارد مگه پای دولت رو به رابطه اش باز می کنه؟",-1,0,3,0,3,0
9323,خیلی خنده داره، تو به شوهرت وفادار نباشی بعد توقع وفاداری از دوس پسرت داشته باشی ای ای ای نکبت عفونتی,-1,1,1,0,3,1
1470,من دوست ندارم کون شوهرم رو ببینیم,1,1,2,1,2,1
7789,حتی اگه زنت هم باشه اینکارا رو میکنه,-1,1,2,0,3,1
12834,اب پارٹی اس بات پر ایک ضابطه بنایی، اگر بیوی پارٹی عهدی پر هو اور شوهر دوسری پارٹی میں هو تو اس پر ڈسپلن کاروایی هونی چاهیی، ایک گهر میں مختلف پارٹیوں سی مراعات لینا بهی منافقت هی، بندا کهل کر سامنی ایی،,-1,0,3,0,3,0
5522,من خنده زنم بر دل، دل خنده کند بر من اینجاست که میخندد دیوانه به دیوانه من خنده زنم بر غم ، غم خنده کند کند بر من اینجاست که میخندد بیگانه به دیوانه من خنده کنم بر عقل او خنده کند بر من اینجاست که میخندد ویرانه به دیوانه … وحشی بافقی شعر,-1,0,3,0,3,0
8197,نگو اینو شوهرم ببینه ناراحت میشه  [SMILING_FACE_WITH_][WOMAN_],0,1,1,0,3,0
10452,واقعیت اینه که غربزده ها برای انتخابات و بازگشت مجدد به قدرت حاضرن حتی ناموس خودشون رو هم ابزار کنن؛ اینکه یه جمله از پلیس رو بامبول کنن، به همسر رییسی حمله کنن، یا با محل کنفرانس خبری وزیر خارجه عربستان سیرک راه انداختن که چیزی نیست. بدتر از اینا تو راهه…,-1,0,3,0,3,0
5528,به جناب ابتهی بزرگوار اقا خیلی خوشحال شدم که شمارو در توییتر میبینم واقعا خوشحال شدم چونکه الان میدونم اگه اسم جد و ابادت رو به نیکی ببرم خودت میبینی و متوجه میشی که همیشه به فکر شما هستم فعلا سلام بنده راه به همسر و دخترتان و همچنین مادرتان برسانید تا بعد دوباره برسم به خدمتتان,-1,1,2,0,3,1
10957,اگه دوستت با گریه و زاری اومد پیشت که پارتنرم لاشیه اینجوریه اونجوریه و کات کردیم، شما ترجیحا نرینین به پارتنرش، اینا فردا اکی میشن شما میشین ادم بده [CLOWN_],-1,1,1,0,3,1
13129,شوهر نامدار هوتی تو ان سی اپنی مهندی لگواتی [SMILING_FACE_WITH_HEART_],-1,0,3,0,3,0
5476,بالش های مبل رو تکوندم روی فرش و میزعسلی ها رو از وسط جمع کردم جارو برقی رو زدم به برق و جاروکشی بابام میگه از ته دل برات ارزومندم که همسر اینده ت مثل خودت بشدت تمیز و حساس باشه وگرنه به هفته سوم چهارم نمیرسید بهش میگم منو از زندگی مجردیم نترسون که سلطان عالمم,0,1,2,0,3,0
10534,اختر ثابت و طاهره ارجمندی دو زن پرستار بودند که در حفظ جان انسان ها می کوشیدند. دو زن بهایی میان ان ده زنی که در چنین روزی، چهل سال پیش، دسته جمعی اعدام شدند. دو روز پیش از این واقعه، همسر طاهره، جمشید سیاوشی اعدام شده بود. بهاییان داستان ما یکیست,-1,0,3,0,3,0
