,Record_text,InRelationship,General_comment_binary,General_comment,Specific_comment_binary,Specific_comment,Relevance
0,داشتیم چیزکیک میخوردیم گفتم حال میکنی دوست دخترت خوشمزه ترین چیزکیک های جهان رو درست میکنه هااا گفت دوست دخترم خودش خوشمزه ترین چیزکیک جهانه [PINCHED_FINGERS_MEDIUM_LIGHT_SKIN_][SMILING_FACE_WITH_] امشب جفتمون خیلی لاسو بودیم,1,1,0,1,0,1
1,تو سال جدید تصمیم گرفتم دور دوستای متاهلم رو خط بکشم. یعنی چی هروقت تعطیله پیش شوهراشونن. هر وقت کار دارن یا شوهرشون نیست  انتظار دارند من چون مجردم سریع خودمو برسونم [EXPRESSIONLESS_][NEUTRAL_],-1,1,1,0,3,1
2,[PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_] زیدم تهران باشه چرا که نه [PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_],1,1,0,1,0,1
3,اقا دو روزه کاملا اینجا توسط همگان شدم، امروز به پارتنرم گفتم دی اکیتو میکنم، استقبال کرد، بعد دیدم کی من اهل فرار کردن بودم؟ هیچ وقت، اصلا همینجا تمرینه واسه اینکه دیگه ترس کافیه! چه از خانواده چه از ملت چه از ج ا :) بنابراین نه تغییر میکنم نه فرار هستم قوی و پروو [RELIEVED_],1,1,2,1,2,1
4,الکی به خانمم گفتم من قبل تو با یه خانم   ساله تو رابطه بودم گفت شوگر داشتی؟ گفتم اره تو چشام خیره شد چند ثانیه یهو گفت عوضی پولاشو چیکار کردیییییی چرا هنوز ما بی پولیم [ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_],1,1,2,1,2,1
5,دلم میخواد اینو بفرستم به پارتنر سابقم و دوباره بلاکش کنم,0,1,1,1,1,1
6,برای گفتن از شب های اخر برای این شانس بی مروتِ کافر برای اشتیاق و اشک های همسر برای اینهمه نقد، برای مادر برای حتی نداشتن خواهر برای دلتنگی… هوای حضور,-1,1,2,0,3,1
7,افرین به شما که روی شوهر تون غیرت و تعصب دارید. من حال شما رو درک می کنم خانواده من هم خیلی مقید به مسایل مذهبی نیستند.,1,1,0,1,0,1
8,یه بار دوست دخترم پریود بود، واسش خوراکی گرفتم دیگه خوشش اومده هر ماه پریود میشه  [ZIPPER_MOUTH_] ,1,1,0,1,0,1
9,موقع خدمت خیلی راحت سُفره دلشونو پیشت پهن میکردن.یکیشون خواستگاری رفته بود و گفته بودن باید اول خدمت بری.حالا اومده بود خدمت و بعد چندماه،اونا دختره رو شوهر داده بودن.شب ها من بیشتر پُست میدادم تا جوون های  ، ساله تاصبح تریاک وشیشه و…بکشن.یکی لیسانس بود وحالا باید اوامر,-1,1,1,0,3,1
10,خیلی خنده داره، تو به شوهرت وفادار نباشی بعد توقع وفاداری از دوس پسرت داشته باشی ای ای ای نکبت عفونتی,-1,1,1,0,3,1
11,من دوست ندارم کون شوهرم رو ببینیم,1,1,2,1,2,1
12,حتی اگه زنت هم باشه اینکارا رو میکنه,-1,1,2,0,3,1
13,به جناب ابتهی بزرگوار اقا خیلی خوشحال شدم که شمارو در توییتر میبینم واقعا خوشحال شدم چونکه الان میدونم اگه اسم جد و ابادت رو به نیکی ببرم خودت میبینی و متوجه میشی که همیشه به فکر شما هستم فعلا سلام بنده راه به همسر و دخترتان و همچنین مادرتان برسانید تا بعد دوباره برسم به خدمتتان,-1,1,2,0,3,1
14,اگه دوستت با گریه و زاری اومد پیشت که پارتنرم لاشیه اینجوریه اونجوریه و کات کردیم، شما ترجیحا نرینین به پارتنرش، اینا فردا اکی میشن شما میشین ادم بده [CLOWN_],-1,1,1,0,3,1
