,Record_text,InRelationship,General_comment_binary,General_comment,Specific_comment_binary,Specific_comment,Relevance
0,داشتیم چیزکیک میخوردیم گفتم حال میکنی دوست دخترت خوشمزه ترین چیزکیک های جهان رو درست میکنه هااا گفت دوست دخترم خودش خوشمزه ترین چیزکیک جهانه [PINCHED_FINGERS_MEDIUM_LIGHT_SKIN_][SMILING_FACE_WITH_] امشب جفتمون خیلی لاسو بودیم,1,1,0,1,0,1
1,[PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_] زیدم تهران باشه چرا که نه [PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_][PLEADING_],1,1,0,1,0,1
2,اقا دو روزه کاملا اینجا توسط همگان شدم، امروز به پارتنرم گفتم دی اکیتو میکنم، استقبال کرد، بعد دیدم کی من اهل فرار کردن بودم؟ هیچ وقت، اصلا همینجا تمرینه واسه اینکه دیگه ترس کافیه! چه از خانواده چه از ملت چه از ج ا :) بنابراین نه تغییر میکنم نه فرار هستم قوی و پروو [RELIEVED_],1,1,2,1,2,1
3,الکی به خانمم گفتم من قبل تو با یه خانم   ساله تو رابطه بودم گفت شوگر داشتی؟ گفتم اره تو چشام خیره شد چند ثانیه یهو گفت عوضی پولاشو چیکار کردیییییی چرا هنوز ما بی پولیم [ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_],1,1,2,1,2,1
4,دلم میخواد اینو بفرستم به پارتنر سابقم و دوباره بلاکش کنم,0,1,1,1,1,1
5,افرین به شما که روی شوهر تون غیرت و تعصب دارید. من حال شما رو درک می کنم خانواده من هم خیلی مقید به مسایل مذهبی نیستند.,1,1,0,1,0,1
6,یه بار دوست دخترم پریود بود، واسش خوراکی گرفتم دیگه خوشش اومده هر ماه پریود میشه  [ZIPPER_MOUTH_] ,1,1,0,1,0,1
7,من دوست ندارم کون شوهرم رو ببینیم,1,1,2,1,2,1
8,ارشد با بابای پسرک چندتا درس مشترک داشتیم، اصولا اصراری نداشتم به شوهر بچسبم و خیلی ها نمیدونستن ما زن و شوهریم. سر یک کلاسی خانمی از گرایش دیگه با ما بود گفت یک چیزی بگم ناراحت نمیشی؟گفتم نه،چی؟ گفت اون اقاهه که اون روبرو، اون وسط نشسته خیلی تو رو نگاه میکنه و گاهی میخنده.,1,1,2,1,2,1
9,شوهر شدم دوستان [FACE_HOLDING_BACK_][MELTING_],1,1,0,1,0,1
10,تو دیگ  لب گوری احمق میگه اگ رسم باشه من با یکی برم زنم با یکی دیگه عدالت برقرار میشه,1,1,1,1,1,1
11,نه من که دوست دخترم دارم ولی   سالگی این کارو کردم=))),1,1,2,1,2,1
12,توصیف زندگی متاهلی در   ثانیه [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_],1,1,2,1,2,1
13,«به من گفت چطور درباره فیلمی به این لطافت { شکستن امواج } چنان تند و تیز نوشتین؟ اون صحنه ای که زن پس از هم اغوشی به همسرش می گه منو یاد رابطه خودمون انداخت. همسر من هم بعد از هم اغوشی از من تشکر می کنه. من و همسرم رابطه خیلی صمیمانه ای داریم، به طوری که من اونو…,1,1,0,1,0,1
